House Vote #564 2014-12-11T21:49:00 - H.R. 5699 (113th): John Muir National Historic Site Expansion Act
person,state,district,vote,name,party
400230,RI,2,Yea,"Rep. James “Jim” Langevin [D, 2001-2016]",Democrat
400232,WA,2,Yea,"Rep. Rick Larsen [D, 2001-2016]",Democrat
400233,CT,1,Yea,"Rep. John Larson [D, 1999-2016]",Democrat
400234,IA,3,Yea,"Rep. Tom Latham [R, 2013-2014]",Republican
400237,CA,13,Yea,"Rep. Barbara Lee [D, 2013-2016]",Democrat
400238,MI,9,Yea,"Rep. Sander Levin [D, 2013-2016]",Democrat
400240,GA,5,Yea,"Rep. John Lewis [D, 1987-2016]",Democrat
400244,NJ,2,Yea,"Rep. Frank LoBiondo [R, 1995-2016]",Republican
400245,CA,19,Yea,"Rep. Zoe Lofgren [D, 2013-2016]",Democrat
400246,NY,17,Yea,"Rep. Nita Lowey [D, 2013-2016]",Democrat
400247,OK,3,Yea,"Rep. Frank Lucas [R, 2003-2016]",Republican
400249,MA,8,Yea,"Rep. Stephen Lynch [D, 2013-2016]",Democrat
400251,NY,12,Yea,"Rep. Carolyn Maloney [D, 2013-2016]",Democrat
400255,UT,4,Yea,"Rep. Jim Matheson [D, 2013-2014]",Democrat
400257,NY,4,Yea,"Rep. Carolyn McCarthy [D, 1997-2014]",Democrat
400259,MN,4,Yea,"Rep. Betty McCollum [D, 2001-2016]",Democrat
400262,WA,7,Yea,"Rep. Jim McDermott [D, 1989-2016]",Democrat
400263,MA,2,Yea,"Rep. James “Jim” McGovern [D, 2013-2016]",Democrat
400266,NC,7,Yea,"Rep. Mike McIntyre [D, 1997-2014]",Democrat
400267,CA,25,Yea,"Rep. Howard “Buck” McKeon [R, 1993-2014]",Republican
400271,NY,5,Yea,"Rep. Gregory Meeks [D, 2013-2016]",Democrat
400273,FL,7,Yea,"Rep. John Mica [R, 1993-2016]",Republican
400274,ME,2,Yea,"Rep. Michael Michaud [D, 2003-2014]",Democrat
400276,MI,10,Yea,"Rep. Candice Miller [R, 2003-2016]",Republican
400277,CA,31,Not Voting,"Rep. Gary Miller [R, 2013-2014]",Republican
400278,CA,11,Yea,"Rep. George Miller [D, 2013-2014]",Democrat
400279,FL,1,Yea,"Rep. Jeff Miller [R, 2001-2016]",Republican
400283,VA,8,Yea,"Rep. James “Jim” Moran Jr. [D, 1991-2014]",Democrat
400285,PA,18,Not Voting,"Rep. Tim Murphy [R, 2003-2016]",Republican
400289,NY,10,Yea,"Rep. Jerrold Nadler [D, 2013-2016]",Democrat
400290,CA,32,Yea,"Rep. Grace Napolitano [D, 2013-2016]",Democrat
400291,MA,1,Yea,"Rep. Richard Neal [D, 2013-2016]",Democrat
400297,CA,22,Nay,"Rep. Devin Nunes [R, 2013-2016]",Republican
400308,NJ,6,Yea,"Rep. Frank Pallone Jr. [D, 1993-2016]",Democrat
400309,NJ,9,Yea,"Rep. Bill Pascrell Jr. [D, 2013-2016]",Democrat
400310,AZ,7,Yea,"Rep. Ed Pastor [D, 2013-2014]",Democrat
400313,NM,2,Yea,"Rep. Stevan “Steve” Pearce [R, 2011-2016]",Republican
400314,CA,12,Yea,"Rep. Nancy Pelosi [D, 2013-2016]",Democrat
400316,MN,7,Yea,"Rep. Collin Peterson [D, 1991-2016]",Democrat
400318,WI,6,Yea,"Rep. Thomas “Tom” Petri [R, 1979-2014]",Republican
400320,PA,16,Yea,"Rep. Joseph Pitts [R, 1997-2016]",Republican
400326,NC,4,Yea,"Rep. David Price [D, 1997-2016]",Democrat
400331,WV,3,Yea,"Rep. Nick Rahall II [D, 1993-2014]",Democrat
400333,NY,13,Yea,"Rep. Charles “Charlie” Rangel [D, 2013-2016]",Democrat
400340,KY,5,Yea,"Rep. Harold “Hal” Rogers [R, 1981-2016]",Republican
400341,AL,3,Yea,"Rep. Mike Rogers [R, 2003-2016]",Republican
400342,MI,8,Yea,"Rep. Mike Rogers [R, 2001-2014]",Republican
400343,CA,48,Yea,"Rep. Dana Rohrabacher [R, 2013-2016]",Republican
400344,FL,27,Yea,"Rep. Ileana Ros-Lehtinen [R, 2013-2016]",Republican
400347,CA,40,Yea,"Rep. Lucille Roybal-Allard [D, 2013-2016]",Democrat
400348,CA,39,Yea,"Rep. Edward “Ed” Royce [R, 2013-2016]",Republican
400349,MD,2,Yea,"Rep. A. Dutch Ruppersberger [D, 2003-2016]",Democrat
400350,IL,1,Nay,"Rep. Bobby Rush [D, 1993-2016]",Democrat
400351,WI,1,Yea,"Rep. Paul Ryan [R, 1999-2016]",Republican
400352,OH,13,Yea,"Rep. Tim Ryan [D, 2013-2016]",Democrat
400355,CA,38,Yea,"Rep. Linda Sánchez [D, 2013-2016]",Democrat
400356,CA,46,Yea,"Rep. Loretta Sanchez [D, 2013-2016]",Democrat
400360,IL,9,Yea,"Rep. Janice “Jan” Schakowsky [D, 1999-2016]",Democrat
400361,CA,28,Yea,"Rep. Adam Schiff [D, 2013-2016]",Democrat
400363,GA,13,Yea,"Rep. David Scott [D, 2003-2016]",Democrat
400364,VA,3,Yea,"Rep. Robert “Bobby” Scott [D, 1993-2016]",Democrat
400365,WI,5,Yea,"Rep. James Sensenbrenner Jr. [R, 2003-2016]",Republican
400366,NY,15,Yea,"Rep. José Serrano [D, 2013-2016]",Democrat
400367,TX,32,Yea,"Rep. Pete Sessions [R, 2003-2016]",Republican
400371,CA,30,Yea,"Rep. Brad Sherman [D, 2013-2016]",Democrat
400373,IL,15,Yea,"Rep. John Shimkus [R, 2013-2016]",Republican
400376,ID,2,Yea,"Rep. Michael “Mike” Simpson [R, 1999-2016]",Republican
400378,NY,25,Yea,"Rep. Louise Slaughter [D, 2013-2016]",Democrat
400379,WA,9,Not Voting,"Rep. Adam Smith [D, 1997-2016]",Democrat
400380,NJ,4,Yea,"Rep. Christopher “Chris” Smith [R, 1981-2016]",Republican
400381,TX,21,Yea,"Rep. Lamar Smith [R, 1987-2016]",Republican
400400,NE,2,Yea,"Rep. Lee Terry [R, 1999-2014]",Republican
400402,MS,2,Yea,"Rep. Bennie Thompson [D, 1993-2016]",Democrat
