House Vote #564 2014-12-11T21:49:00 - H.R. 5699 (113th): John Muir National Historic Site Expansion Act
person,state,district,vote,name,party
412479,TN,8,Yea,"Rep. Stephen Fincher [R, 2011-2016]",Republican
412480,TX,17,Yea,"Rep. Bill Flores [R, 2011-2016]",Republican
412482,TX,27,Yea,"Rep. Blake Farenthold [R, 2011-2016]",Republican
412483,VA,2,Yea,"Rep. Edward “Scott” Rigell [R, 2011-2016]",Republican
412484,VA,5,Not Voting,"Rep. Robert Hurt [R, 2011-2016]",Republican
412485,VA,9,Nay,"Rep. Morgan Griffith [R, 2011-2016]",Republican
412486,WA,3,Yea,"Rep. Jaime Herrera Beutler [R, 2011-2016]",Republican
412487,WV,1,Yea,"Rep. David McKinley [R, 2011-2016]",Republican
412488,WI,7,Yea,"Rep. Sean Duffy [R, 2011-2016]",Republican
412489,WI,8,Yea,"Rep. Reid Ribble [R, 2011-2016]",Republican
412498,CA,44,Yea,"Rep. Janice Hahn [D, 2013-2016]",Democrat
412500,NV,2,Yea,"Rep. Mark Amodei [R, 2011-2016]",Republican
412501,OR,1,Yea,"Rep. Suzanne Bonamici [D, 2012-2016]",Democrat
412502,AZ,2,Yea,"Rep. Ron Barber [D, 2013-2014]",Democrat
412503,KY,4,Nay,"Rep. Thomas Massie [R, 2012-2016]",Republican
412505,WA,1,Yea,"Rep. Suzan DelBene [D, 2012-2016]",Democrat
412506,NJ,10,Yea,"Rep. Donald Payne Jr. [D, 2012-2016]",Democrat
412508,AR,4,Yea,"Rep. Tom Cotton [R, 2013-2014]",Republican
412509,AZ,9,Yea,"Rep. Kyrsten Sinema [D, 2013-2016]",Democrat
412510,CA,1,Nay,"Rep. Doug LaMalfa [R, 2013-2016]",Republican
412511,CA,2,Yea,"Rep. Jared Huffman [D, 2013-2016]",Democrat
412512,CA,7,Yea,"Rep. Ami Bera [D, 2013-2016]",Democrat
412513,CA,8,Yea,"Rep. Paul Cook [R, 2013-2016]",Republican
412514,CA,15,Yea,"Rep. Eric Swalwell [D, 2013-2016]",Democrat
412515,CA,21,Nay,"Rep. David Valadao [R, 2013-2016]",Republican
412516,CA,26,Yea,"Rep. Julia Brownley [D, 2013-2016]",Democrat
412517,CA,29,Yea,"Rep. Tony Cárdenas [D, 2013-2016]",Democrat
412518,CA,35,Not Voting,"Rep. Gloria Negrete McLeod [D, 2013-2014]",Democrat
412519,CA,36,Yea,"Rep. Raul Ruiz [D, 2013-2016]",Democrat
412520,CA,41,Yea,"Rep. Mark Takano [D, 2013-2016]",Democrat
412521,CA,47,Yea,"Rep. Alan Lowenthal [D, 2013-2016]",Democrat
412522,CA,51,Yea,"Rep. Juan Vargas [D, 2013-2016]",Democrat
412523,CA,52,Yea,"Rep. Scott Peters [D, 2013-2016]",Democrat
412524,CT,5,Yea,"Rep. Elizabeth Esty [D, 2013-2016]",Democrat
412525,FL,3,Yea,"Rep. Ted Yoho [R, 2013-2016]",Republican
412526,FL,6,Nay,"Rep. Ron DeSantis [R, 2013-2016]",Republican
412527,FL,18,Yea,"Rep. Patrick Murphy [D, 2013-2016]",Democrat
412529,FL,22,Yea,"Rep. Lois Frankel [D, 2013-2016]",Democrat
412530,FL,26,Yea,"Rep. Joe Garcia [D, 2013-2014]",Democrat
412531,GA,9,Yea,"Rep. Doug Collins [R, 2013-2016]",Republican
412532,HI,2,Yea,"Rep. Tulsi Gabbard [D, 2013-2016]",Democrat
412533,IL,8,Not Voting,"Rep. Tammy Duckworth [D, 2013-2016]",Democrat
412534,IL,10,Yea,"Rep. Bradley Schneider [D, 2013-2014]",Democrat
412535,IL,12,Yea,"Rep. William Enyart [D, 2013-2014]",Democrat
412536,IL,13,Nay,"Rep. Rodney Davis [R, 2013-2016]",Republican
412537,IL,17,Yea,"Rep. Cheri Bustos [D, 2013-2016]",Democrat
412538,IN,2,Yea,"Rep. Jackie Walorski [R, 2013-2016]",Republican
412539,IN,5,Yea,"Rep. Susan Brooks [R, 2013-2016]",Republican
412540,IN,6,Yea,"Rep. Luke Messer [R, 2013-2016]",Republican
412541,KY,6,Yea,"Rep. Garland “Andy” Barr [R, 2013-2016]",Republican
412543,MA,4,Yea,"Rep. Joseph Kennedy III [D, 2013-2016]",Democrat
412544,MD,6,Yea,"Rep. John Delaney [D, 2013-2016]",Democrat
412546,MI,5,Yea,"Rep. Daniel Kildee [D, 2013-2016]",Democrat
412547,MI,11,Nay,"Rep. Kerry Bentivolio [R, 2013-2014]",Republican
412548,MO,2,Yea,"Rep. Ann Wagner [R, 2013-2016]",Republican
412549,MT,0,Yea,"Rep. Steve Daines [R, 2013-2014]",Republican
412550,NC,8,Nay,"Rep. Richard Hudson [R, 2013-2016]",Republican
412551,NC,9,Yea,"Rep. Robert Pittenger [R, 2013-2016]",Republican
412552,NC,11,Yea,"Rep. Mark Meadows [R, 2013-2016]",Republican
412553,NC,13,Nay,"Rep. George Holding [R, 2013-2016]",Republican
412555,ND,0,Yea,"Rep. Kevin Cramer [R, 2013-2016]",Republican
412557,NH,2,Yea,"Rep. Ann Kuster [D, 2013-2016]",Democrat
412558,NM,1,Yea,"Rep. Michelle Lujan Grisham [D, 2013-2016]",Democrat
412559,NV,4,Yea,"Rep. Steven Horsford [D, 2013-2014]",Democrat
412560,NY,6,Yea,"Rep. Grace Meng [D, 2013-2016]",Democrat
412561,NY,8,Not Voting,"Rep. Hakeem Jeffries [D, 2013-2016]",Democrat
412562,NY,18,Not Voting,"Rep. Sean Maloney [D, 2013-2016]",Democrat
412563,NY,27,Yea,"Rep. Chris Collins [R, 2013-2016]",Republican
412564,OH,2,Nay,"Rep. Brad Wenstrup [R, 2013-2016]",Republican
412565,OH,3,Not Voting,"Rep. Joyce Beatty [D, 2013-2016]",Democrat
412566,OH,14,Yea,"Rep. David Joyce [R, 2013-2016]",Republican
412567,OK,1,Nay,"Rep. Jim Bridenstine [R, 2013-2016]",Republican
412568,OK,2,Not Voting,"Rep. Markwayne Mullin [R, 2013-2016]",Republican
412569,PA,4,Yea,"Rep. Scott Perry [R, 2013-2016]",Republican
412570,PA,12,Yea,"Rep. Keith Rothfus [R, 2013-2016]",Republican
412571,PA,17,Yea,"Rep. Matthew Cartwright [D, 2013-2016]",Democrat
412572,SC,7,Nay,"Rep. Tom Rice [R, 2013-2016]",Republican
412574,TX,14,Nay,"Rep. Randy Weber [R, 2013-2016]",Republican
412575,TX,16,Yea,"Rep. Beto O'Rourke [D, 2013-2016]",Democrat
412576,TX,20,Yea,"Rep. Joaquin Castro [D, 2013-2016]",Democrat
412577,TX,23,Yea,"Rep. Pete Gallego [D, 2013-2014]",Democrat
412578,TX,25,Nay,"Rep. Roger Williams [R, 2013-2016]",Republican
412579,TX,33,Yea,"Rep. Marc Veasey [D, 2013-2016]",Democrat
412580,TX,34,Yea,"Rep. Filemon Vela [D, 2013-2016]",Democrat
412581,UT,2,Not Voting,"Rep. Chris Stewart [R, 2013-2016]",Republican
412583,WA,6,Yea,"Rep. Derek Kilmer [D, 2013-2016]",Democrat
412584,WA,10,Yea,"Rep. Denny Heck [D, 2013-2016]",Democrat
412585,WI,2,Yea,"Rep. Mark Pocan [D, 2013-2016]",Democrat
412595,IL,2,Yea,"Rep. Robin Kelly [D, 2013-2016]",Democrat
412596,MO,8,Nay,"Rep. Jason Smith [R, 2013-2016]",Republican
412599,LA,5,Yea,"Rep. Vance McAllister [R, 2013-2014]",Republican
412600,MA,5,Yea,"Rep. Katherine Clark [D, 2013-2016]",Democrat
412601,AL,1,Yea,"Rep. Bradley Byrne [R, 2014-2016]",Republican
412603,FL,13,Yea,"Rep. David Jolly [R, 2014-2016]",Republican
412604,FL,19,Nay,"Rep. Curtis “Curt” Clawson [R, 2014-2016]",Republican
412605,VA,7,Not Voting,"Rep. David “Dave” Brat [R, 2014-2016]",Republican
412606,NJ,1,Yea,"Rep. Donald Norcross [D, 2014-2016]",Democrat
412607,NC,12,Not Voting,"Rep. Alma Adams [D, 2014-2016]",Democrat
