name,cid,party,office
Bobby L Rush,N00004887,D,IL01
Robin Kelly,N00035215,D,IL02
Daniel Lipinski,N00027239,D,IL03
Luis V Gutierrez,N00004874,D,IL04
Mike Quigley,N00030581,D,IL05
Peter Roskam,N00004719,R,IL06
Danny K Davis,N00004884,D,IL07
Tammy Duckworth,N00027860,D,IL08
Jan Schakowsky,N00004724,D,IL09
Bob Dold,N00031103,R,IL10
Bill Foster,N00029139,D,IL11
Mike Bost,N00035420,R,IL12
Rodney Davis,N00034784,R,IL13
Randy Hultgren,N00031104,R,IL14
John M Shimkus,N00004961,R,IL15
Adam Kinzinger,N00030667,R,IL16
Cheri Bustos,N00033390,D,IL17
Aaron Schock,N00029273,R,IL18
Darin LaHood,N00037031,R,IL18
Dick Durbin,N00004981,D,ILS1
Mark Kirk,N00012539,R,ILS2
Bobby L Rush,N00004887,D,IL01
Robin Kelly,N00035215,D,IL02
Daniel Lipinski,N00027239,D,IL03
Luis V Gutierrez,N00004874,D,IL04
Mike Quigley,N00030581,D,IL05
Peter Roskam,N00004719,R,IL06
Danny K Davis,N00004884,D,IL07
Tammy Duckworth,N00027860,D,IL08
Jan Schakowsky,N00004724,D,IL09
Bob Dold,N00031103,R,IL10
Bill Foster,N00029139,D,IL11
Mike Bost,N00035420,R,IL12
Rodney Davis,N00034784,R,IL13
Randy Hultgren,N00031104,R,IL14
John M Shimkus,N00004961,R,IL15
Adam Kinzinger,N00030667,R,IL16
Cheri Bustos,N00033390,D,IL17
Aaron Schock,N00029273,R,IL18
Darin LaHood,N00037031,R,IL18
Dick Durbin,N00004981,D,ILS1
Mark Kirk,N00012539,R,ILS2
Tim Huelskamp,N00027649,R,KS01
Lynn Jenkins,N00029077,R,KS02
Kevin Yoder,N00031502,R,KS03
Mike Pompeo,N00030744,R,KS04
Pat Roberts,N00005285,R,KSS1
Jerry Moran,N00005282,R,KSS2
Ed Whitfield,N00003467,R,KY01
Brett Guthrie,N00029675,R,KY02
John A Yarmuth,N00028073,D,KY03
Thomas Massie,N00034041,R,KY04
Hal Rogers,N00003473,R,KY05
Andy Barr,N00031233,R,KY06
Mitch McConnell,N00003389,R,KYS1
Rand Paul,N00030836,R,KYS2
Steve Scalise,N00009660,R,LA01
Cedric Richmond,N00030184,D,LA02
Charles W Boustany Jr,N00026595,R,LA03
John Fleming,N00029679,R,LA04
Ralph Abraham,N00036633,R,LA05
Garret Graves,N00036135,R,LA06
Bill Cassidy,N00030245,R,LAS1
David Vitter,N00009659,R,LAS2
Richard E Neal,N00000153,D,MA01
James P McGovern,N00000179,D,MA02
Niki Tsongas,N00029026,D,MA03
Joe Kennedy III,N00034044,D,MA04
Katherine Clark,N00035278,D,MA05
Seth Moulton,N00035431,D,MA06
Michael E Capuano,N00000267,D,MA07
Stephen F Lynch,N00013855,D,MA08
Bill Keating,N00031933,D,MA09
Elizabeth Warren,N00033492,D,MAS1
Ed Markey,N00000270,D,MAS2
Andy Harris,N00029147,R,MD01
Dutch Ruppersberger,N00025482,D,MD02
John Sarbanes,N00027751,D,MD03
Donna Edwards,N00028249,D,MD04
Steny H Hoyer,N00001821,D,MD05
John K Delaney,N00033897,D,MD06
Elijah E Cummings,N00001971,D,MD07
Chris Van Hollen,N00013820,D,MD08
Ben Cardin,N00001955,D,MDS1
Barbara A Mikulski,N00001945,D,MDS2
Chellie Pingree,N00013817,D,ME01
Bruce Poliquin,N00034584,R,ME02
Angus King,N00034580,I,MES1
Susan Collins,N00000491,R,MES2
Dan Benishek,N00031934,R,MI01
Bill Huizenga,N00030673,R,MI02
Justin Amash,N00031938,R,MI03
John Moolenaar,N00036275,R,MI04
Dan Kildee,N00033395,D,MI05
Fred Upton,N00004133,R,MI06
Tim Walberg,N00026368,R,MI07
Mike Bishop,N00036449,R,MI08
Sander Levin,N00003950,D,MI09
Candice S Miller,N00009795,R,MI10
Dave Trott,N00035607,R,MI11
Debbie Dingell,N00036149,D,MI12
John Conyers Jr,N00004029,D,MI13
Brenda Lawrence,N00034068,D,MI14
Gary Peters,N00029277,D,MIS1
Debbie Stabenow,N00004118,D,MIS2
Timothy J Walz,N00027467,D,MN01
John Kline,N00004436,R,MN02
Erik Paulsen,N00029391,R,MN03
Betty McCollum,N00012942,D,MN04
Keith Ellison,N00028257,D,MN05
Tom Emmer,N00035440,R,MN06
Collin Peterson,N00004558,D,MN07
Rick Nolan,N00021207,D,MN08
Al Franken,N00029016,D,MNS1
Amy Klobuchar,N00027500,D,MNS2
William L Clay Jr,N00012460,D,MO01
Ann L Wagner,N00033106,R,MO02
Blaine Luetkemeyer,N00030026,R,MO03
Vicky Hartzler,N00031005,R,MO04
Emanuel Cleaver,N00026790,D,MO05
Sam Graves,N00013323,R,MO06
Billy Long,N00030676,R,MO07
Jason Smith,N00035282,R,MO08
Roy Blunt,N00005195,R,MOS1
Claire McCaskill,N00027694,D,MOS2
Alan Nunnelee,N00031006,R,MS01
Trent Kelly,N00037003,R,MS01
Bennie G Thompson,N00003288,D,MS02
Gregg Harper,N00029632,R,MS03
Steven Palazzo,N00031958,R,MS04
Thad Cochran,N00003328,R,MSS1
Roger Wicker,N00003280,R,MSS2
Ryan K Zinke,N00035616,R,MT01
Jon Tester,N00027605,D,MTS1
Steven Daines,N00033054,R,MTS2
G K Butterfield,N00027035,D,NC01
Renee Ellmers,N00031513,R,NC02
Walter B Jones Jr,N00002299,R,NC03
David Price,N00002260,D,NC04
Virginia Foxx,N00026166,R,NC05
Mark Walker,N00035311,R,NC06
David Rouzer,N00033527,R,NC07
Richard Hudson,N00033630,R,NC08
Robert Pittenger,N00034416,R,NC09
Patrick McHenry,N00026627,R,NC10
Mark R Meadows,N00033631,R,NC11
Alma Adams,N00035451,D,NC12
George Holding,N00033399,R,NC13
Thom Tillis,N00035492,R,NCS1
Richard Burr,N00002221,R,NCS2
Kevin Cramer,N00004614,R,ND01
John Hoeven,N00031688,R,NDS1
Heidi Heitkamp,N00033782,D,NDS2
Jeff Fortenberry,N00026631,R,NE01
Brad Ashford,N00005293,D,NE02
Adrian Smith,N00027623,R,NE03
Deb Fischer,N00033443,R,NES1
Ben Sasse,N00035544,R,NES2
Frank Guinta,N00030801,R,NH01
Ann Mclane Kuster,N00030875,D,NH02
Kelly Ayotte,N00030980,R,NHS1
Jeanne Shaheen,N00024790,D,NHS2
Don Norcross,N00036154,D,NJ01
Frank A LoBiondo,N00000851,R,NJ02
Thomas MacArthur,N00036155,R,NJ03
Chris Smith,N00009816,R,NJ04
Scott Garrett,N00000743,R,NJ05
Frank Pallone Jr,N00000781,D,NJ06
Leonard Lance,N00000898,R,NJ07
